Name,Gender,Rating Value,Rating Count,Main Accords,Perfumers,Description
Obsession for Men Calvin Kleinfor men,for men,3.86,"5,030","['warm spicy', 'woody', 'amber', 'aromatic', 'cinnamon', 'powdery', 'fresh spicy', 'balsamic', 'citrus', 'vanilla']",['Robert Slattery'],"Obsession for MenbyCalvin Kleinis a Amber Woody fragrance for men.Obsession for Menwas launched in 1986. The nose behind this fragrance is Robert Slattery. Top notes are Cinnamon, Lavender, Coriander, Mandarin Orange, Lime, Bergamot and Grapefruit; middle notes are Myrhh, Nutmeg, Carnation, Brazilian Rosewood, Pine Tree, Sage, Jasmine and Red Berries; base notes are Amber, Vanilla, Sandalwood, Musk, Patchouli and Vetiver."
Obsession Sheer Calvin Kleinfor women,for women,3.96,258,"['amber', 'citrus', 'aromatic', 'balsamic', 'vanilla', 'sweet', 'powdery', 'fresh spicy', 'herbal', 'smoky']",['René Morgenthaler'],Obsession SheerbyCalvin Kleinis a Amber Floral fragrance for women.Obsession Sheerwas launched in 2002. The nose behind this fragrance is René Morgenthaler.
Reveal Calvin Kleinfor women,for women,3.75,"4,328","['woody', 'powdery', 'musky', 'amber', 'salty', 'iris', 'fresh spicy', 'animalic', 'warm spicy', 'marine']","['Bruno Jovanovic', 'Jean-Marc Chaillan']","RevealbyCalvin Kleinis a Floral Woody Musk fragrance for women.Revealwas launched in 2014. Reveal was created by Jean-Marc Chaillan and Bruno Jovanovic. Top notes are Salt, Black Pepper, White Pepper and Pink Pepper; middle notes are Ambergris and Iris; base notes are Cashmeran, Sandalwood, Musk and Vetiver."
Truth For Men Calvin Kleinfor men,for men,3.98,"1,202","['aromatic', 'fresh spicy', 'green', 'woody', 'warm spicy', 'patchouli']","['Givaudan', 'Michel Almairac']","Truth For MenbyCalvin Kleinis a Aromatic Fougere fragrance for men.Truth For Menwas launched in 2002. Truth For Men was created by Givaudan and Michel Almairac. Top notes are Basil, Cardamom and Green Leaves; middle notes are Fern and Resins; base notes are Red Cedar, Patchouli and Exotic Woods."
AquaFlore Carolina Herrerafor women,for women,3.93,116,"['powdery', 'white floral', 'floral', 'fresh', 'fruity', 'iris', 'woody', 'rose', 'aquatic', 'violet']","['Carlos Benaim', 'Rosendo Mateu']","AquaFlorebyCarolina Herrerais a Floral Green fragrance for women.AquaFlorewas launched in 1997. AquaFlore was created by Carlos Benaim and Rosendo Mateu. Top notes are Melon, Violet, Peach and Mandarin Orange; middle notes are Cyclamen, Jasmine, Rose and Lily-of-the-Valley; base notes are Orris Root, Sandalwood, Amber and Musk."
Carolina Carolina Herrerafor women,for women,3.95,475,"['woody', 'musky', 'citrus', 'amber', 'fresh spicy', 'aromatic', 'warm spicy', 'rose', 'fruity', 'green']","['Carlos Benaim', 'Clement Gavarry']","CarolinabyCarolina Herrerais a Floral Woody Musk fragrance for women.Carolinawas launched in 2003. Carolina was created by Carlos Benaim and Clement Gavarry. Top notes are Wild Strawberry Leaf, Bitter Orange and Cardamom; middle notes are Forest Fruits, Rose and Pepper; base notes are Cashmere Wood, Musk, Amber and Vanilla."
Flore Carolina Herrerafor women,for women,4.01,257,"['white floral', 'fresh', 'green', 'floral', 'woody', 'aldehydic', 'powdery', 'rose', 'iris', 'musky']","['Carlos Benaim', 'Rosendo Mateu']","FlorebyCarolina Herrerais a Floral fragrance for women.Florewas launched in 1994. Flore was created by Rosendo Mateu and Carlos Benaim. Top notes are Green Notes, Aldehydes, Fruity Notes and Bergamot; middle notes are Lily-of-the-Valley, Jasmine, Lilac, Iris and Rose; base notes are Iris, Musk, Woodsy Notes and Sandalwood."
Herrera Aqua Carolina Herrerafor men,for men,4.13,383,"['aromatic', 'woody', 'citrus', 'fresh spicy', 'green', 'amber', 'fresh', 'musky', 'sweet', 'vanilla']","['Carlos Benaim', 'Rosendo Mateu']","Herrera AquabyCarolina Herrerais a Aromatic Aquatic fragrance for men.Herrera Aquawas launched in 2004. Herrera Aqua was created by Carlos Benaim and Rosendo Mateu. Top notes are Bamboo Leaf, Fig Leaf, Mandarin Orange and Bergamot; middle notes are Neroli, Lavender, Rosemary and White Pepper; base notes are Tonka Bean, Musk, Amber and Vetiver."
212 Carolina Herrerafor women,for women,3.97,"5,354","['white floral', 'floral', 'citrus', 'powdery', 'musky', 'green']",['Alberto Morillas'],"212byCarolina Herrerais a Floral Woody Musk fragrance for women.212was launched in 1997. The nose behind this fragrance is Alberto Morillas. Top notes are Orange Blossom, Cactus Flower, Bergamot and Mandarin Orange; middle notes are Lily, Freesia, Gardenia, Jasmine, Lily-of-the-Valley, White Camelia, Rose and Peony; base notes are Musk and Sandalwood."
212 Men Aqua Carolina Herrerafor men,for men,4.09,167,"['woody', 'warm spicy', 'aromatic', 'citrus', 'marine', 'amber', 'musky', 'earthy', 'powdery', 'fresh spicy']",['Alberto Morillas'],"212 Men AquabyCarolina Herrerais a Woody Aquatic fragrance for men.212 Men Aquawas launched in 2017. The nose behind this fragrance is Alberto Morillas. Top notes are Sea water, Ginger, Grapefruit and Bergamot; middle notes are Ambroxan, Gardenia, Cardamom and Cypriol Oil or Nagarmotha; base notes are Sandalwood, Patchouli, Musk, Vetiver and Palisander Rosewood."
